2023-12-28 13:08:54 INFO  LandingPage:2731 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 360
2023-12-28 13:08:55 INFO  LandingPage:2743 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 371
2023-12-28 13:08:55 INFO  LandingPage:2731 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 371
2023-12-28 13:08:55 INFO  LandingPage:2743 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 386
2023-12-28 13:08:55 INFO  LandingPage:2731 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 386
2023-12-28 13:08:56 INFO  LandingPage:2743 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 401
2023-12-28 13:08:56 INFO  LandingPage:2731 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 401
2023-12-28 13:08:56 INFO  LandingPage:2743 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 416
2023-12-28 13:08:56 INFO  LandingPage:2731 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 416
2023-12-28 13:08:56 INFO  LandingPage:2743 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 416
2023-12-28 13:08:56 INFO  Waitings:269 - TOTAL TIME that Last row in the 'ADD ITEM -> SETTINGS' Popup page was loading: 0.026 seconds.
2023-12-28 13:08:58 INFO  LandingPage:2759 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 416
2023-12-28 13:08:58 INFO  LandingPage:2772 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 401
2023-12-28 13:08:58 INFO  LandingPage:2759 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 401
2023-12-28 13:08:58 INFO  LandingPage:2772 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 386
2023-12-28 13:08:58 INFO  LandingPage:2759 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 386
2023-12-28 13:08:59 INFO  LandingPage:2772 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 371
2023-12-28 13:08:59 INFO  LandingPage:2759 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 371
2023-12-28 13:08:59 INFO  LandingPage:2772 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 360
2023-12-28 13:08:59 INFO  LandingPage:2759 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 360
2023-12-28 13:09:00 INFO  LandingPage:2772 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 345
2023-12-28 13:09:00 INFO  LandingPage:2759 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 345
2023-12-28 13:09:00 INFO  LandingPage:2772 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 330
2023-12-28 13:09:00 INFO  LandingPage:2759 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 330
2023-12-28 13:09:01 INFO  LandingPage:2772 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 315
2023-12-28 13:09:01 INFO  LandingPage:2759 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 315
2023-12-28 13:09:01 INFO  LandingPage:2772 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 304
2023-12-28 13:09:01 INFO  LandingPage:2759 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 304
2023-12-28 13:09:01 INFO  LandingPage:2772 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 289
2023-12-28 13:09:01 INFO  LandingPage:2759 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 289
2023-12-28 13:09:02 INFO  LandingPage:2772 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 274
2023-12-28 13:09:02 INFO  LandingPage:2759 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 274
2023-12-28 13:09:02 INFO  LandingPage:2772 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 262
2023-12-28 13:09:02 INFO  LandingPage:2759 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 262
2023-12-28 13:09:03 INFO  LandingPage:2772 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 248
2023-12-28 13:09:03 INFO  LandingPage:2759 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 248
2023-12-28 13:09:03 INFO  LandingPage:2772 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 248
2023-12-28 13:09:03 INFO  Waitings:269 - TOTAL TIME that 'Item Status' row in the 'ADD ITEM -> SETTINGS' Popup page was loading: 0.026 seconds.
2023-12-28 13:09:05 INFO  LandingPage:2788 - The offset for moving 1 row is: 12
2023-12-28 13:09:05 INFO  LandingPage:1431 - The 'Item Status' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:05 INFO  Waitings:240 - TOTAL TIME that 'Item Status' WIDTH field page was loading: 0.032 seconds.
